SNO,dimension,bandgap1 ,bandgap2 ,dielectric_constant_1,dielectric_constant_2,mol_wt_1,mol_wt_2,size,temperature,work_function_1,work_function_2,volt,wavelength,responsivity
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,296,14.69065476
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,302,14.72459406
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,308,15.15573828
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,314,15.26013664
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,320,15.48487364
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,326,15.66878121
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,332,15.68401666
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,338,15.76604462
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,344,15.91628214
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,350,16.2301382
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,356,17.10194156
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,362,17.38080291
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,368,18.51588203
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,374,17.99052205
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,380,16.57538189
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,386,15.13218966
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,392,14.44500289
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,398,12.89557542
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,404,11.88976879
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,410,10.6535832
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,416,9.739906958
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,422,9.412537146
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,428,8.318334676
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,434,8.169567007
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,440,7.682542706
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,446,8.075894228
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,452,8.17886561
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,458,7.578144353
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,464,7.628956466
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,470,7.628403492
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,476,7.184392784
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,482,7.137130165
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,488,6.365055867
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,494,6.451054534
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,500,7.12607513
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,506,7.041140012
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,512,7.054477758
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,518,6.251787368
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,524,6.010263301
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,530,6.129239225
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,536,6.129752643
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,542,6.142504082
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,548,6.399821841
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,554,6.386859305
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,560,5.969666487
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,566,6.040679005
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,572,6.107373526
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,578,6.065644751
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,584,6.095801079
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,590,6.05330435
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,596,6.36203264
8,2,3.36,0,22.5,1,172.12,107.87,10.5,30,4.25,5.1,-6,602,6.528382687
