SNO,dimension,bandgap1 ,bandgap2 ,dielectric_constant_1,dielectric_constant_2,mol_wt_1,mol_wt_2,size,temperature,work_function_1,work_function_2,volt,wavelength,responsivity
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,248,5.318146426
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,252,5.293586976
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,256,5.382832937
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,260,5.451981747
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,264,5.5702715
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,268,5.659593794
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,272,5.669324116
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,276,5.716387284
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,280,5.739299379
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,284,5.802600479
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,288,5.718918881
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,292,5.628497418
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,296,5.564075392
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,300,5.531946999
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,304,5.22021072
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,308,5.112308577
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,312,4.865635606
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,316,4.635760998
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,320,4.283345579
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,324,3.626578553
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,328,3.128782176
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,332,2.815639964
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,336,2.505472088
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,340,1.787155957
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,344,1.311023349
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,348,1.105015912
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,352,0.856380592
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,356,0.620391721
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,360,0.513992848
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,364,0.340196954
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,368,0.350180246
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,372,0.321865322
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,376,0.29949788
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,380,0.260753671
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,384,0.246480654
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,388,0.229875325
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,392,0.246256957
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,396,0.211088785
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,400,0.241149948
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,404,0.229174184
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,408,0.199432392
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,412,0.246479307
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,416,0.178690079
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,420,0.203746408
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,424,0.190118708
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,428,0.155124109
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,432,0.200983287
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,436,0.152803771
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,440,0.181121011
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,444,0.145644938
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,448,0.129724494
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,452,0.145398773
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,456,0.128059281
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,460,0.146215525
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,464,0.137433553
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,468,0.12714282
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,472,0.144554334
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,476,0.129030171
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,480,0.149685671
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,484,0.135775264
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,488,0.13091166
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,492,0.146356878
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,496,0.128918848
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,500,0.149985765
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,504,0.134274595
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,508,0.130604548
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,512,0.154674191
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,516,0.128509893
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,520,0.156206291
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,524,0.139549128
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,528,0.121676638
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,532,0.134314238
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,536,0.120116599
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,540,0.143349339
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,544,0.128743908
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,548,0.117469651
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,552,0.165265893
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,556,0.119163291
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,560,0.1357831
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,564,0.127251017
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,568,0.120687338
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,572,0.165001244
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,576,0.120637929
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,580,0.148088111
1,1,3.98,0,22.5,0,441.89,0,160,30,4.25,5.1,-3,584,0.158118318
